Total loss: 2.6004398810863494, rpn_cls_loss: 0.7677149838209152, rpn_reg_loss: 1.8327249085903168, Accuracy 0.939140625
Total loss: 1.20270951628685, rpn_cls_loss: 0.7131521034240723, rpn_reg_loss: 0.48955740928649905, Accuracy 0.966953125
Total loss: 1.1700463503599168, rpn_cls_loss: 0.7084116953611374, rpn_reg_loss: 0.4616346549987793, Accuracy 0.946328125
Total loss: 1.0841252821683884, rpn_cls_loss: 0.7057992386817932, rpn_reg_loss: 0.3783260379731655, Accuracy 0.9701171875
Total loss: 1.1025137710571289, rpn_cls_loss: 0.7020021337270737, rpn_reg_loss: 0.4005116319656372, Accuracy 0.9666796875
Total loss: 1.2397308552265167, rpn_cls_loss: 0.7182450497150421, rpn_reg_loss: 0.5214858078956603, Accuracy 0.8740234375
Total loss: 1.0620793968439102, rpn_cls_loss: 0.7100054258108139, rpn_reg_loss: 0.35207397371530536, Accuracy 0.9105078125
Total loss: 0.9844898104667663, rpn_cls_loss: 0.6967693817615509, rpn_reg_loss: 0.2877204266190529, Accuracy 0.85015625
Total loss: 1.0020319014787673, rpn_cls_loss: 0.6963337635993958, rpn_reg_loss: 0.3056981405615807, Accuracy 0.8865625
Total loss: 1.0353673827648162, rpn_cls_loss: 0.697703218460083, rpn_reg_loss: 0.33766416758298873, Accuracy 0.9253125
Total loss: 1.107666870355606, rpn_cls_loss: 0.698449050784111, rpn_reg_loss: 0.4092178224027157, Accuracy 0.9550390625
Total loss: 1.098659064769745, rpn_cls_loss: 0.6965066915750504, rpn_reg_loss: 0.4021523690223694, Accuracy 0.9511328125
Total loss: 1.0288589072227479, rpn_cls_loss: 0.6967430877685546, rpn_reg_loss: 0.33211582228541375, Accuracy 0.954296875
Total loss: 1.0892841249704361, rpn_cls_loss: 0.6953869473934173, rpn_reg_loss: 0.39389717698097226, Accuracy 0.94125
Total loss: 0.9995516610145568, rpn_cls_loss: 0.694397594332695, rpn_reg_loss: 0.3051540724933147, Accuracy 0.9315625
Total loss: 1.0373233538866042, rpn_cls_loss: 0.6946145957708358, rpn_reg_loss: 0.34270876660943034, Accuracy 0.9637890625
Total loss: 1.0341335117816925, rpn_cls_loss: 0.6963632184267045, rpn_reg_loss: 0.3377702909708023, Accuracy 0.9690234375
Total loss: 1.0848811024427414, rpn_cls_loss: 0.6983848142623902, rpn_reg_loss: 0.3864962847530842, Accuracy 0.953515625
Total loss: 1.0658248567581177, rpn_cls_loss: 0.6971869891881943, rpn_reg_loss: 0.3686378705501556, Accuracy 0.935859375
Total loss: 1.022358969449997, rpn_cls_loss: 0.6959752035140991, rpn_reg_loss: 0.326383768171072, Accuracy 0.956171875
Total loss: 1.0707455968856812, rpn_cls_loss: 0.6957637065649033, rpn_reg_loss: 0.37498188510537145, Accuracy 0.96765625
Total loss: 1.049878522157669, rpn_cls_loss: 0.6950199711322784, rpn_reg_loss: 0.3548585495352745, Accuracy 0.9616796875
Total loss: 1.0311623859405517, rpn_cls_loss: 0.69403180539608, rpn_reg_loss: 0.337130580842495, Accuracy 0.9388671875
Total loss: 1.0098498874902726, rpn_cls_loss: 0.6938956612348557, rpn_reg_loss: 0.3159542287886143, Accuracy 0.9621484375
Total loss: 1.0440522289276124, rpn_cls_loss: 0.6938778460025787, rpn_reg_loss: 0.350174382776022, Accuracy 0.9702734375
Total loss: 0.9939363014698028, rpn_cls_loss: 0.693697338104248, rpn_reg_loss: 0.30023896172642706, Accuracy 0.9728515625
Total loss: 0.9603880614042282, rpn_cls_loss: 0.693644968867302, rpn_reg_loss: 0.26674308940768243, Accuracy 0.9816796875
Total loss: 1.2545746731758118, rpn_cls_loss: 0.6939399093389511, rpn_reg_loss: 0.560634768307209, Accuracy 0.9393359375
Total loss: 1.169884707927704, rpn_cls_loss: 0.6934968030452728, rpn_reg_loss: 0.47638790518045426, Accuracy 0.841640625
Total loss: 1.0200174522399903, rpn_cls_loss: 0.6935742872953415, rpn_reg_loss: 0.3264431682229042, Accuracy 0.8480859375
Total loss: 1.0547735679149628, rpn_cls_loss: 0.6940987956523895, rpn_reg_loss: 0.3606747767329216, Accuracy 0.9237109375
Total loss: 1.0107784003019333, rpn_cls_loss: 0.6940495449304581, rpn_reg_loss: 0.3167288571596146, Accuracy 0.927578125
Total loss: 0.9848018968105317, rpn_cls_loss: 0.6930254393815994, rpn_reg_loss: 0.29177645429968835, Accuracy 0.8220703125
Total loss: 0.9860190802812576, rpn_cls_loss: 0.6934492164850234, rpn_reg_loss: 0.29256986364722254, Accuracy 0.8790625
Total loss: 1.0034160137176513, rpn_cls_loss: 0.69341164290905, rpn_reg_loss: 0.3100043727457523, Accuracy 0.89859375
Total loss: 0.9804044073820114, rpn_cls_loss: 0.689278194308281, rpn_reg_loss: 0.2911262108385563, Accuracy 0.92375
